name,logP,logD,Vd,PPB,MW,theory_score,ile_prob,category,ad_flag,rank
Vortioxetine,3.864,2.494,4.734,87.833,298.5,60.7,90.0,High,ok,824
Clioquinol,3.198,2.498,11.017,88.476,305.5,50.0,90.0,High,ok,825
Dapagliflozin,1.844,2.499,7.549,90.009,408.9,54.1,90.0,High,ok,826
Tixocortol,2.719,2.497,-0.717,78.64,378.5,83.2,90.0,High,ok,827
Rabeprazole,2.989,2.489,1.934,92.831,359.5,73.5,89.9,High,ok,828
Teniposide,2.753,2.493,0.599,103.033,656.7,83.1,89.9,High,domain-edge (prediction unreliable),829
Clonazepam,3.038,2.487,0.296,94.222,315.7,82.9,89.9,High,ok,830
Imiquimod,2.823,2.493,4.668,82.611,240.3,60.9,89.9,High,ok,831
Berotralstat,5.702,2.49,7.731,90.744,562.6,53.5,89.9,High,ok,832
Givinostat,4.549,2.493,10.465,92.237,421.5,49.9,89.9,High,ok,833
Phenyltoloxamine,3.218,2.483,3.155,81.13,255.4,66.3,89.8,High,ok,834
Ozanimod,3.632,2.48,5.524,98.489,404.5,58.1,89.8,High,ok,835
Palmitic Acid,5.552,2.483,2.237,100.451,256.4,71.2,89.8,High,ok,836
Istradefylline,2.124,2.48,-1.261,77.335,384.4,82.7,89.8,High,ok,837
Trimetrexate,2.741,2.479,5.392,90.258,369.4,58.4,89.8,High,ok,838
Adefovir dipivoxil,2.703,2.482,5.084,87.135,501.5,59.4,89.8,High,ok,839
Indoramin,3.605,2.482,7.936,83.931,347.5,53.0,89.8,High,ok,840
Fingolimod,3.204,2.472,11.481,89.036,307.5,49.4,89.7,High,ok,841
Levobupivacaine,3.897,2.477,2.407,69.947,288.4,70.0,89.7,High,ok,842
Trilaciclib,2.725,2.47,8.013,82.844,446.6,52.6,89.7,High,ok,843
Momelotinib,2.977,2.478,3.787,90.773,414.5,63.5,89.7,High,ok,844
Azilsartan medoxomil,4.705,2.475,-12.15,107.416,568.5,82.5,89.7,High,ok,845
Nirmatrelvir,1.097,2.478,-1.926,71.706,499.5,82.6,89.7,High,ok,846
Benorilate,2.79,2.463,-1.869,91.308,313.3,82.1,89.6,High,ok,847
Alitretinoin,5.603,2.463,-3.312,100.464,300.4,82.1,89.6,High,ok,848
Doxepin,3.962,2.468,5.0,84.988,279.4,59.3,89.6,High,ok,849
alpha-Linolenic acid,5.661,2.458,-0.653,97.834,278.4,81.9,89.5,High,ok,850
Pemigatinib,3.657,2.457,6.396,79.348,487.5,55.5,89.5,High,ok,851
Vindesine,2.732,2.459,9.978,88.091,753.9,49.2,89.5,High,domain-edge (prediction unreliable),852
Lorazepam,3.101,2.458,5.289,93.455,321.2,58.2,89.5,High,ok,853
Cobimetinib,3.781,2.449,15.8,86.089,531.3,49.0,89.4,High,ok,854
Triazolam,4.234,2.454,3.938,90.413,343.2,62.3,89.4,High,ok,855
Tretinoin,5.603,2.448,-3.242,100.621,300.4,81.6,89.4,High,ok,856
Dichlorobenzyl alcohol,2.486,2.448,10.122,70.997,177.0,49.0,89.4,High,ok,857
Pioglitazone,3.16,2.441,-4.229,99.123,356.4,81.4,89.3,High,ok,858
Indacaterol,3.149,2.445,3.075,94.27,392.5,65.6,89.3,High,ok,859
Icosapent,5.993,2.445,-1.162,97.633,302.5,81.5,89.3,High,ok,860
Zimelidine,3.837,2.445,8.504,77.459,317.2,51.2,89.3,High,ok,861
Etomidate,2.669,2.443,-0.234,78.039,244.3,81.4,89.3,High,ok,862
Sulfur hexafluoride,3.169,2.433,11.401,71.16,146.1,48.7,89.2,High,ok,863
Capivasertib,2.149,2.439,14.807,89.031,428.9,48.8,89.2,High,ok,864
Eugenol,2.129,2.434,-0.433,74.493,164.2,81.1,89.2,High,ok,865
Lurbinectedin,4.189,2.436,3.598,99.093,784.9,63.1,89.2,High,domain-edge (prediction unreliable),866
Rosiglitazone,2.491,2.434,-5.011,97.999,357.4,81.1,89.2,High,ok,867
Eprazinone,3.901,2.429,3.767,73.259,380.5,62.3,89.1,High,ok,868
Piritramide,3.692,2.426,0.986,80.712,430.6,80.9,89.1,High,ok,869
Trimethaphan,3.656,2.432,-1.71,80.817,365.5,81.1,89.1,High,ok,870
Aclidinium,4.667,2.428,7.613,90.216,484.7,52.4,89.1,High,ok,871
Vanzacaftor,4.551,2.429,-1.69,103.16,617.8,81.0,89.1,High,domain-edge (prediction unreliable),872
Biperiden,3.962,2.427,5.166,73.926,311.5,57.8,89.1,High,ok,873
Acenocoumarol,3.518,2.432,-0.242,93.834,353.3,81.1,89.1,High,ok,874
Magnesium oxide,-0.5,2.411,1.085,75.863,24.3,79.2,88.9,High,domain-edge (prediction unreliable),875
Disperse Blue 106,3.594,2.412,8.756,91.425,335.4,50.1,88.9,High,ok,876
