name,logP,logD,Vd,PPB,MW,theory_score,ile_prob,category,ad_flag,rank
Ensulizole,2.477,-0.663,1.639,87.096,274.3,0.0,10.0,Low,ok,2236
Nystatin,0.936,-0.662,-1.504,47.048,926.1,0.0,10.0,Low,domain-edge (prediction unreliable),2237
Isoetharine,1.908,-0.673,1.784,21.023,239.3,0.0,9.9,Low,ok,2238
Buformin,-0.625,-0.685,-0.104,10.604,157.2,0.0,9.7,Low,ok,2239
Ephedrine,1.328,-0.684,0.762,14.222,165.2,0.0,9.7,Low,ok,2240
Podophyllin,8.677,-0.694,-13.026,103.636,432.4,0.0,9.6,Low,ok,2241
Foscarbidopa,-0.287,-0.691,-0.378,48.207,306.2,0.0,9.6,Low,ok,2242
Orciprenaline,1.129,-0.693,2.165,19.799,211.3,0.0,9.6,Low,ok,2243
Phenylacetic acid,1.314,-0.691,-3.492,55.137,136.1,0.0,9.6,Low,ok,2244
Xamoterol,-0.237,-0.701,0.54,28.196,339.4,0.0,9.5,Low,ok,2245
Pheneticillin,1.086,-0.702,-1.521,71.914,364.4,0.0,9.5,Low,ok,2246
Regadenoson,-2.435,-0.704,5.662,42.437,390.4,0.0,9.5,Low,ok,2247
Salicylic acid,1.09,-0.712,-1.224,62.336,138.1,0.0,9.4,Low,ok,2248
Grepafloxacin,2.28,-0.71,-0.848,66.199,359.4,0.0,9.4,Low,ok,2249
Fosfomycin,-0.091,-0.712,2.025,31.617,138.1,0.0,9.4,Low,ok,2250
Uridine triacetate,-1.139,-0.718,-5.835,43.321,370.3,0.0,9.3,Low,ok,2251
Aceclidine,0.644,-0.721,-0.585,4.641,169.2,0.0,9.3,Low,ok,2252
Guanoxan,0.309,-0.727,0.422,30.063,207.2,0.0,9.2,Low,ok,2253
Iron polymaltose,-6.087,-0.727,0.589,38.417,342.3,0.0,9.2,Low,ok,2254
Quaternium-15,-2.748,-0.732,3.528,23.155,215.7,0.0,9.2,Low,ok,2255
Potassium cation,-2.996,-0.736,5.923,4.343,39.1,0.0,9.1,Low,domain-edge (prediction unreliable),2256
Dihydralazine,0.201,-0.734,1.484,27.099,190.2,0.0,9.1,Low,ok,2257
Ibandronate,0.5,-0.747,3.09,40.891,319.2,0.0,9.0,Low,ok,2258
Fludeoxyglucose (18F),-2.402,-0.75,-2.045,13.41,181.1,0.0,9.0,Low,ok,2259
Streptozocin,-3.048,-0.746,-4.179,27.365,265.2,0.0,9.0,Low,ok,2260
Leucine,0.444,-0.759,-2.375,28.56,131.2,0.0,8.9,Low,ok,2261
Trimetazidine,1.118,-0.751,-2.783,18.875,266.3,0.0,8.9,Low,ok,2262
Amphotericin B,0.712,-0.755,-1.247,46.641,924.1,0.0,8.9,Low,domain-edge (prediction unreliable),2263
Sparfloxacin,2.082,-0.761,-0.651,62.824,392.4,0.0,8.8,Low,ok,2264
Sulfacytine,0.646,-0.767,1.224,58.734,294.3,0.0,8.8,Low,ok,2265
Vaborbactam,0.449,-0.762,-2.445,58.132,297.1,0.0,8.8,Low,ok,2266
Didanosine,-0.21,-0.764,3.875,39.419,236.2,0.0,8.8,Low,ok,2267
Dexrazoxane,-2.708,-0.766,-7.031,24.324,268.3,0.0,8.8,Low,ok,2268
Midodrine,-0.188,-0.765,-2.55,24.165,254.3,0.0,8.8,Low,ok,2269
Cefradine,0.349,-0.76,-2.215,61.842,349.4,0.0,8.8,Low,ok,2270
Demecarium,6.762,-0.777,10.925,15.631,556.8,0.0,8.7,Low,ok,2271
Isosorbide,-1.494,-0.769,2.537,7.962,146.1,0.0,8.7,Low,ok,2272
Pemirolast,0.183,-0.77,-1.798,77.2,228.2,0.0,8.7,Low,ok,2273
Benzylpenicillin,0.861,-0.786,-3.059,62.889,334.4,0.0,8.6,Low,ok,2274
Sodium camphorsulfonate,-2.069,-0.779,3.713,42.668,231.3,0.0,8.6,Low,ok,2275
Carbon dioxide,-0.584,-0.784,-2.42,41.847,44.0,0.0,8.6,Low,domain-edge (prediction unreliable),2276
Dinoprost tromethamine,0.704,-0.778,2.039,36.948,354.5,0.0,8.6,Low,ok,2277
Phenylalanine,0.641,-0.788,-4.248,43.572,165.2,0.0,8.5,Low,ok,2278
Homatropine,1.888,-0.789,-1.094,24.206,275.3,0.0,8.5,Low,ok,2279
Kappadione,-12.421,-0.8,6.922,64.513,330.1,0.0,8.4,Low,ok,2280
Cedazuridine,-1.566,-0.799,0.568,11.148,268.2,0.0,8.4,Low,ok,2281
Dopamine,0.599,-0.809,-0.782,23.656,153.2,0.0,8.3,Low,ok,2282
Levonordefrin,0.478,-0.82,-0.392,21.812,183.2,0.0,8.2,Low,ok,2283
Oxitriptan,0.828,-0.815,1.148,55.267,220.2,0.0,8.2,Low,ok,2284
Gemifloxacin,0.966,-0.819,-2.1,68.578,389.4,0.0,8.2,Low,ok,2285
Mannitol busulfan,-3.618,-0.815,-3.38,22.638,338.4,0.0,8.2,Low,ok,2286
Daprodustat,1.26,-0.815,-4.279,78.44,393.4,0.0,8.2,Low,ok,2287
Cefaloridine,-0.318,-0.817,2.939,63.486,415.5,0.0,8.2,Low,ok,2288
Pirbuterol,0.701,-0.828,2.15,17.635,240.3,0.0,8.1,Low,ok,2289
Loracarbef,0.711,-0.831,-1.87,60.323,349.8,0.0,8.1,Low,ok,2290
Zidovudine,-0.196,-0.829,-3.525,27.409,267.2,0.0,8.1,Low,ok,2291
Potassium hydroxide,-3.173,-0.836,5.956,5.418,39.1,0.0,8.0,Low,domain-edge (prediction unreliable),2292
Temozolomide,-2.078,-0.836,-4.956,39.916,194.2,0.0,8.0,Low,ok,2293
Sulisobenzone,1.878,-0.852,3.085,87.641,308.3,0.0,7.9,Low,ok,2294
Fluorouracil,-0.798,-0.852,-3.466,30.803,130.1,0.0,7.9,Low,ok,2295
Pentamidine,2.883,-0.844,2.788,43.886,340.4,0.0,7.9,Low,ok,2296
Cupric sulfate,-1.34,-0.855,1.317,58.721,96.1,0.0,7.8,Low,domain-edge (prediction unreliable),2297
"(S)-butane-1,3-diol",-0.25,-0.854,3.545,6.498,90.1,0.0,7.8,Low,domain-edge (prediction unreliable),2298
Allantoin,-2.18,-0.857,-4.03,27.006,158.1,0.0,7.8,Low,ok,2299
Pixantrone,0.598,-0.871,14.282,51.81,325.4,0.0,7.7,Low,ok,2300
Gadodiamide,-7.366,-0.866,-0.737,57.351,416.4,0.0,7.7,Low,ok,2301
Ammonium chloride,-2.62,-0.874,6.597,2.842,35.5,0.0,7.6,Low,domain-edge (prediction unreliable),2302
Sodium hydroxide,-3.173,-0.875,5.701,8.709,23.0,0.0,7.6,Low,domain-edge (prediction unreliable),2303
Finafloxacin,1.222,-0.879,-2.397,67.532,398.4,0.0,7.6,Low,ok,2304
Isoniazid,-0.315,-0.885,-2.232,12.858,137.1,0.0,7.5,Low,ok,2305
Cinoxacin,0.843,-0.888,0.02,84.508,262.2,0.0,7.5,Low,ok,2306
Cilastatin,1.433,-0.886,-2.478,71.014,358.5,0.0,7.5,Low,ok,2307
Sodium fluorophosphate,-7.207,-0.89,3.844,25.598,98.0,0.0,7.5,Low,domain-edge (prediction unreliable),2308
Cefamandole nafate,-0.045,-0.897,-0.629,88.943,490.5,0.0,7.4,Low,ok,2309
Gemcitabine,-1.289,-0.906,-0.465,16.49,263.2,0.0,7.3,Low,ok,2310
Gadoversetamide,-7.333,-0.914,0.016,56.935,504.5,0.0,7.3,Low,ok,2311
Dexpanthenol,-1.136,-0.91,1.405,9.302,205.3,0.0,7.3,Low,ok,2312
Butylene glycol,-0.25,-0.91,3.917,5.244,90.1,0.0,7.3,Low,domain-edge (prediction unreliable),2313
Stavudine,-0.709,-0.923,-2.246,25.429,224.2,0.0,7.2,Low,ok,2314
Sotalol,1.09,-0.92,1.288,21.914,272.4,0.0,7.2,Low,ok,2315
Gadofosveset trisodium,-14.547,-0.921,4.384,85.236,731.6,0.0,7.2,Low,domain-edge (prediction unreliable),2316
Penciclovir,-1.307,-0.918,5.229,46.885,253.3,0.0,7.2,Low,ok,2317
Magnesium trisilicate,-7.034,-0.936,-1.313,97.871,212.2,0.0,7.1,Low,ok,2318
Thiamine,0.608,-0.935,2.22,24.247,265.4,0.0,7.1,Low,ok,2319
Cefaclor,0.621,-0.932,0.043,66.005,367.8,0.0,7.1,Low,ok,2320
Cefprozil,0.707,-0.936,-0.076,66.54,389.4,0.0,7.1,Low,ok,2321
Panthenol,-1.136,-0.944,1.445,8.929,205.3,0.0,7.0,Low,ok,2322
Cefalotin,0.592,-0.942,-2.538,73.185,396.4,0.0,7.0,Low,ok,2323
Hetacillin,1.411,-0.941,-2.386,60.338,389.5,0.0,7.0,Low,ok,2324
Chloramphenicol succinate,1.325,-0.939,-1.569,65.102,423.2,0.0,7.0,Low,ok,2325
Propylene glycol,-0.641,-0.952,2.899,5.072,76.1,0.0,6.9,Low,domain-edge (prediction unreliable),2326
Edoxudine,-1.26,-0.949,0.017,24.636,256.3,0.0,6.9,Low,ok,2327
Coenzyme M,-0.196,-0.961,-0.109,36.552,142.2,0.0,6.8,Low,ok,2328
Isoleucine,0.444,-0.966,-2.177,25.033,131.2,0.0,6.8,Low,ok,2329
Amiloride,-1.082,-0.967,1.159,34.397,229.6,0.0,6.8,Low,ok,2330
Meticillin,0.949,-0.969,-2.092,66.479,380.4,0.0,6.8,Low,ok,2331
Cefoxitin,0.099,-0.973,-2.233,69.479,427.5,0.0,6.7,Low,ok,2332
Dotatate gallium Ga-68,-7.76,-0.976,-6.209,81.425,1432.6,0.0,6.7,Low,domain-edge (prediction unreliable),2333
Isoprenaline,1.129,-0.976,1.271,17.293,211.3,0.0,6.7,Low,ok,2334
Phenylephrine,0.645,-0.973,-0.439,13.859,167.2,0.0,6.7,Low,ok,2335
Pyridostigmine,0.571,-0.972,2.324,0.319,181.2,0.0,6.7,Low,ok,2336
Lomefloxacin,1.796,-0.984,-1.511,57.568,351.4,0.0,6.6,Low,ok,2337
Acetylsalicylic acid,1.31,-0.987,-2.705,63.297,180.2,0.0,6.6,Low,ok,2338
Piperacillin,-0.24,-0.984,-2.926,63.339,517.6,0.0,6.6,Low,ok,2339
Cephalexin,0.445,-0.983,-1.704,61.382,347.4,0.0,6.6,Low,ok,2340
Diaminopyrimidine oxide,-1.121,-0.99,0.273,16.51,126.1,0.0,6.6,Low,ok,2341
Oxilofrine,1.033,-0.992,1.463,11.534,181.2,0.0,6.6,Low,ok,2342
Zalcitabine,-0.505,-0.983,-0.288,12.433,211.2,0.0,6.6,Low,ok,2343
Amdinocillin,1.406,-0.994,-3.249,52.452,325.4,0.0,6.6,Low,ok,2344
Pregabalin,1.082,-1.0,-2.796,30.158,159.2,0.0,6.5,Low,ok,2345
Undecoylium chloride iodine complex,-2.952,-1.0,2.977,23.133,237.3,0.0,6.5,Low,ok,2346
Technetium Tc-99m oxidronate,-1.385,-1.003,-1.042,60.945,192.0,0.0,6.5,Low,ok,2347
Selenomethionine,-0.041,-1.003,-2.553,26.275,196.1,0.0,6.5,Low,ok,2348
Ferric derisomaltose,-7.939,-1.007,0.265,25.121,506.5,0.0,6.4,Low,ok,2349
Biotin,0.797,-1.008,-3.011,43.029,244.3,0.0,6.4,Low,ok,2350
Selenomethionine Se-75,-0.041,-1.012,-2.55,26.029,192.1,0.0,6.4,Low,ok,2351
Cefpiramide,0.327,-1.01,1.173,85.224,612.7,0.0,6.4,Low,domain-edge (prediction unreliable),2352
Gadopiclenol,-8.895,-1.011,-1.809,50.036,812.9,0.0,6.4,Low,domain-edge (prediction unreliable),2353
Ribavirin,-3.011,-1.01,0.024,20.801,244.2,0.0,6.4,Low,ok,2354
Guanethidine,0.526,-1.02,0.558,-0.721,198.3,0.0,6.3,Low,ok,2355
Azaribine,-1.744,-1.019,-5.834,54.442,371.3,0.0,6.3,Low,ok,2356
Atracurium besylate,9.247,-1.037,0.933,81.769,929.2,0.0,6.2,Low,domain-edge (prediction unreliable),2357
Fluciclovine (18F),-0.1,-1.034,-3.351,20.326,132.1,0.0,6.2,Low,ok,2358
Nalidixic acid,1.423,-1.03,-0.569,64.598,232.2,0.0,6.2,Low,ok,2359
Methscopolamine bromide,-1.933,-1.036,4.109,20.758,318.4,0.0,6.2,Low,ok,2360
Methenamine,-1.02,-1.035,-0.626,12.609,140.2,0.0,6.2,Low,ok,2361
Methscopolamine,1.063,-1.049,0.921,18.703,318.4,0.0,6.1,Low,ok,2362
Cefroxadine,-0.067,-1.051,-1.233,60.64,365.4,0.0,6.1,Low,ok,2363
Gadoteridol,-6.162,-1.052,-1.8,55.782,401.4,0.0,6.1,Low,ok,2364
Captopril,0.628,-1.042,-2.628,56.205,217.3,0.0,6.1,Low,ok,2365
Elamipretide,-0.546,-1.043,0.442,26.612,639.8,0.0,6.1,Low,domain-edge (prediction unreliable),2366
Valaciclovir,-0.798,-1.064,3.774,40.763,324.3,0.0,6.0,Low,ok,2367
Cefamandole,-0.226,-1.06,0.51,78.755,462.5,0.0,6.0,Low,ok,2368
Sodium chloride,-5.992,-1.064,6.585,7.056,35.5,0.0,6.0,Low,domain-edge (prediction unreliable),2369
Dyphylline,-2.213,-1.06,-0.602,15.928,254.2,0.0,6.0,Low,ok,2370
Potassium chloride,-5.992,-1.071,6.803,3.423,35.5,0.0,5.9,Low,domain-edge (prediction unreliable),2371
Norepinephrine,0.09,-1.076,-0.497,19.173,169.2,0.0,5.9,Low,ok,2372
Acetrizoic acid,3.157,-1.068,2.708,82.852,556.9,0.0,5.9,Low,ok,2373
5-O-phosphono-alpha-D-ribofuranosyl diphosphate,-2.231,-1.09,-0.176,42.646,390.1,0.0,5.8,Low,ok,2374
Protirelin,-1.808,-1.084,-2.201,18.438,362.4,0.0,5.8,Low,ok,2375
Sulfamethizole,1.23,-1.081,2.091,79.535,270.3,0.0,5.8,Low,ok,2376
Linaclotide,-5.939,-1.093,-12.606,77.175,1526.8,0.0,5.8,Low,domain-edge (prediction unreliable),2377
Acyclovir,-1.332,-1.094,4.289,42.172,225.2,0.0,5.7,Low,ok,2378
Chloric acid,-2.935,-1.104,1.743,24.141,84.5,0.0,5.7,Low,domain-edge (prediction unreliable),2379
Methionine,0.151,-1.109,-2.501,23.411,149.2,0.0,5.6,Low,ok,2380
Gatifloxacin,1.98,-1.117,-1.695,57.037,375.4,0.0,5.6,Low,ok,2381
Practolol,1.383,-1.119,4.178,23.44,266.3,0.0,5.6,Low,ok,2382
Procarbazine,1.049,-1.129,2.195,9.157,221.3,0.0,5.5,Low,ok,2383
Cefazolin,-0.636,-1.131,1.065,86.904,454.5,0.0,5.5,Low,ok,2384
Magnesium sulfate,-1.719,-1.13,2.319,52.523,96.1,0.0,5.5,Low,domain-edge (prediction unreliable),2385
Fructose,-3.22,-1.141,1.486,3.558,180.2,0.0,5.4,Low,ok,2386
Tyrosine,0.347,-1.137,-2.575,37.885,181.2,0.0,5.4,Low,ok,2387
Mebrofenin,1.784,-1.141,-1.739,80.62,387.2,0.0,5.4,Low,ok,2388
Hexoprenaline,2.016,-1.137,5.048,32.374,420.5,0.0,5.4,Low,ok,2389
Magnesium carbonate,-2.828,-1.135,-0.395,70.783,60.0,0.0,5.4,Low,domain-edge (prediction unreliable),2390
Cefmenoxime,-0.87,-1.152,0.898,81.257,511.6,0.0,5.3,Low,ok,2391
Moxifloxacin,2.371,-1.153,-1.332,57.011,401.4,0.0,5.3,Low,ok,2392
Diazolidinylurea,-3.612,-1.15,0.083,15.006,278.2,0.0,5.3,Low,ok,2393
Nitrous acid,0.142,-1.15,-2.484,23.415,47.0,0.0,5.3,Low,domain-edge (prediction unreliable),2394
Ciprofloxacin,1.583,-1.161,-1.355,57.501,331.3,0.0,5.3,Low,ok,2395
Aminosalicylic acid,0.673,-1.176,0.738,60.163,153.1,0.0,5.2,Low,ok,2396
Cefmetazole,-0.728,-1.176,0.075,79.823,471.5,0.0,5.2,Low,ok,2397
Amifostine,-0.249,-1.164,1.157,10.497,214.2,0.0,5.2,Low,ok,2398
Valganciclovir,-1.437,-1.179,5.22,38.844,354.4,0.0,5.1,Low,ok,2399
Cefoperazone,-1.112,-1.186,0.139,80.317,645.7,0.0,5.1,Low,domain-edge (prediction unreliable),2400
Pramiracetam,0.844,-1.183,0.754,-8.032,269.4,0.0,5.1,Low,ok,2401
Aminobenzoic acid,0.967,-1.204,-0.705,57.818,137.1,0.0,5.0,Low,ok,2402
Glycerin,-1.668,-1.203,2.691,7.526,92.1,0.0,5.0,Low,domain-edge (prediction unreliable),2403
Droxidopa,-0.457,-1.193,-0.375,41.684,213.2,0.0,5.0,Low,ok,2404
Ganciclovir,-1.971,-1.201,5.081,33.538,255.2,0.0,5.0,Low,ok,2405
Fluorodopa (18F),0.191,-1.201,-1.916,38.397,214.2,0.0,5.0,Low,ok,2406
Eflornithine,-0.227,-1.218,-3.259,10.4,182.2,0.0,4.9,Low,ok,2407
Azlocillin,0.094,-1.214,-2.092,62.59,461.5,0.0,4.9,Low,ok,2408
Mafenide,-0.207,-1.218,-1.235,15.843,186.2,0.0,4.9,Low,ok,2409
Piracetam,-0.906,-1.217,-3.867,7.256,142.2,0.0,4.9,Low,ok,2410
Phthalylsulfathiazole,2.894,-1.218,-1.673,91.884,403.4,0.0,4.9,Low,ok,2411
Cysteamine,-0.125,-1.208,0.162,-2.167,77.2,0.0,4.9,Low,domain-edge (prediction unreliable),2412
Sodium zirconium cyclosilicate,-14.476,-1.23,5.033,75.088,228.2,0.0,4.8,Low,ok,2413
Racemethionine,0.151,-1.225,-2.624,25.042,149.2,0.0,4.8,Low,ok,2414
Epinephrine,0.351,-1.233,-0.042,15.486,183.2,0.0,4.8,Low,ok,2415
D-Methionine,0.151,-1.225,-2.818,22.953,149.2,0.0,4.8,Low,ok,2416
Cefadroxil,0.151,-1.23,-0.371,58.164,363.4,0.0,4.8,Low,ok,2417
Inosine,-2.269,-1.25,3.766,32.875,268.2,0.0,4.7,Low,ok,2418
Ferrous succinate,-2.736,-1.249,-1.523,59.794,116.1,0.0,4.7,Low,ok,2419
Idoxuridine,-1.218,-1.254,4.267,44.99,354.1,0.0,4.7,Low,ok,2420
Ampicillin,0.318,-1.244,-1.073,49.551,349.4,0.0,4.7,Low,ok,2421
Floxuridine,-1.684,-1.242,0.14,18.501,246.2,0.0,4.7,Low,ok,2422
Picosulfuric acid,2.625,-1.242,-0.624,86.51,437.5,0.0,4.7,Low,ok,2423
Spectinomycin,-2.926,-1.262,0.439,6.479,332.4,0.0,4.6,Low,ok,2424
Cefdinir,-0.172,-1.262,-0.815,77.505,395.4,0.0,4.6,Low,ok,2425
Sodium molybdate,-8.61,-1.266,5.506,44.982,159.9,0.0,4.6,Low,ok,2426
Cystine,-0.808,-1.269,-3.588,54.339,240.3,0.0,4.6,Low,ok,2427
Calcium carbonate,-2.828,-1.265,0.096,67.073,60.0,0.0,4.6,Low,domain-edge (prediction unreliable),2428
Colistimethate,-9.773,-1.255,-11.784,64.077,1634.9,0.0,4.6,Low,domain-edge (prediction unreliable),2429
Argatroban,0.913,-1.277,-0.945,43.225,508.6,0.0,4.5,Low,ok,2430
Doxecitine,-1.534,-1.279,0.671,8.629,227.2,0.0,4.5,Low,ok,2431
Levodopa,0.052,-1.273,-1.649,38.572,197.2,0.0,4.5,Low,ok,2432
Ipratropium,2.854,-1.294,4.31,10.877,332.5,0.0,4.4,Low,ok,2433
Thymidine,-1.514,-1.297,0.185,20.003,242.2,0.0,4.4,Low,ok,2434
Cefuroxime,-0.536,-1.302,-1.298,63.101,424.4,0.0,4.4,Low,ok,2435
Cephaloglycin,-0.012,-1.303,-2.164,60.957,405.4,0.0,4.4,Low,ok,2436
Trolamine,-1.735,-1.29,8.392,-12.132,149.2,0.0,4.4,Low,ok,2437
Foslevodopa,-0.182,-1.304,0.272,45.064,277.2,0.0,4.4,Low,ok,2438
Cyclacillin,0.28,-1.305,-2.042,39.68,341.4,0.0,4.4,Low,ok,2439
Acetarsol,-1.088,-1.315,4.312,53.778,275.1,0.0,4.3,Low,ok,2440
Ferrous sulfate anhydrous,-1.34,-1.322,2.262,48.593,96.1,0.0,4.3,Low,domain-edge (prediction unreliable),2441
Copper oxodotreotide Cu-64,-6.047,-1.317,-8.237,79.161,1433.6,0.0,4.3,Low,domain-edge (prediction unreliable),2442
Phosphoric acid,-0.929,-1.318,2.209,32.034,98.0,0.0,4.3,Low,domain-edge (prediction unreliable),2443
Mesalazine,0.673,-1.322,1.232,58.127,153.1,0.0,4.2,Low,ok,2444
Etidronic acid,-0.992,-1.339,0.679,39.917,206.0,0.0,4.2,Low,ok,2445
Tromethamine,-2.339,-1.329,3.084,0.47,121.1,0.0,4.2,Low,ok,2446
Gabapentin,1.37,-1.331,-4.525,23.768,171.2,0.0,4.2,Low,ok,2447
Durlobactam,-1.359,-1.323,0.485,53.072,277.3,0.0,4.2,Low,ok,2448
Atenolol,0.452,-1.332,-2.259,15.247,266.3,0.0,4.2,Low,ok,2449
Pentostatin,-1.18,-1.336,1.888,7.745,268.3,0.0,4.2,Low,ok,2450
Betahistine,0.843,-1.328,0.573,1.87,136.2,0.0,4.2,Low,ok,2451
Chromous sulfate,-1.34,-1.363,2.546,48.033,96.1,0.0,4.0,Low,domain-edge (prediction unreliable),2452
Cefpodoxime,-0.539,-1.364,0.703,61.863,427.5,0.0,4.0,Low,ok,2453
Cysteine,-0.672,-1.375,-3.185,21.35,121.2,0.0,4.0,Low,ok,2454
Urea C-14,-0.976,-1.361,-2.364,0.126,62.0,0.0,4.0,Low,domain-edge (prediction unreliable),2455
Cytarabine,-2.563,-1.366,0.228,8.76,243.2,0.0,4.0,Low,ok,2456
Telbivudine,-1.514,-1.362,0.431,20.056,242.2,0.0,4.0,Low,ok,2457
Glucosamine,-3.255,-1.375,-0.205,-0.449,179.2,0.0,4.0,Low,ok,2458
Penicillamine,0.107,-1.376,-1.941,23.491,149.2,0.0,4.0,Low,ok,2459
Urea,-0.976,-1.363,-2.356,0.08,60.1,0.0,4.0,Low,domain-edge (prediction unreliable),2460
Urea C-13,-0.976,-1.362,-2.36,0.103,61.0,0.0,4.0,Low,domain-edge (prediction unreliable),2461
Cidofovir,-1.662,-1.392,0.987,13.998,279.2,0.0,3.9,Low,ok,2462
Imidurea,-4.802,-1.386,-0.71,29.96,388.3,0.0,3.9,Low,ok,2463
Betazole,-0.089,-1.386,1.935,8.565,111.1,0.0,3.9,Low,ok,2464
Methyl aminolevulinate,-0.533,-1.387,-3.762,8.348,145.2,0.0,3.9,Low,ok,2465
L-Acetylleucine,0.622,-1.387,-2.035,41.526,173.2,0.0,3.9,Low,ok,2466
Risedronic acid,-0.374,-1.395,1.533,40.232,283.1,0.0,3.9,Low,ok,2467
Cefotaxime,-0.622,-1.391,-0.196,68.986,455.5,0.0,3.9,Low,ok,2468
Ferrous fumarate,-2.96,-1.379,-0.447,72.476,114.1,0.0,3.9,Low,ok,2469
Boric acid,-2.052,-1.378,1.992,32.336,61.8,0.0,3.9,Low,domain-edge (prediction unreliable),2470
Pamidronic acid,-1.663,-1.378,1.988,32.877,235.1,0.0,3.9,Low,ok,2471
Technetium Tc-99m succimer,-0.25,-1.41,0.774,73.921,182.2,0.0,3.8,Low,ok,2472
Lactulose,-5.396,-1.402,1.306,-1.858,342.3,0.0,3.8,Low,ok,2473
Valine,0.054,-1.405,-2.505,16.621,117.1,0.0,3.8,Low,ok,2474
Acetohydroxamic acid,-0.488,-1.409,-1.164,10.35,75.1,0.0,3.8,Low,domain-edge (prediction unreliable),2475
Selenious acid,-1.614,-1.402,1.061,35.485,129.0,0.0,3.8,Low,ok,2476
Norfloxacin,1.268,-1.403,-0.712,52.111,319.3,0.0,3.8,Low,ok,2477
Zinc sulfate,-1.34,-1.433,3.295,46.254,96.1,0.0,3.7,Low,domain-edge (prediction unreliable),2478
Miglitol,-3.262,-1.437,2.409,-6.888,207.2,0.0,3.6,Low,ok,2479
Ethambutol,-0.293,-1.443,3.211,-10.097,204.3,0.0,3.6,Low,ok,2480
Xylose,-2.74,-1.442,0.326,9.315,150.1,0.0,3.6,Low,ok,2481
Taurine,-1.167,-1.475,-0.18,21.854,125.1,0.0,3.5,Low,ok,2482
Nicotinamide riboside,-2.315,-1.472,2.449,3.676,255.2,0.0,3.5,Low,ok,2483
N-Acetylglucosamine,-3.235,-1.46,-2.316,5.442,221.2,0.0,3.5,Low,ok,2484
Xylitol,-2.946,-1.461,1.106,3.215,152.1,0.0,3.5,Low,ok,2485
Cefapirin,0.475,-1.464,0.309,66.8,423.5,0.0,3.5,Low,ok,2486
Sucrose,-5.396,-1.47,1.611,-1.777,342.3,0.0,3.5,Low,ok,2487
Hydroxystilbamidine,2.131,-1.484,2.911,30.097,280.3,0.0,3.4,Low,ok,2488
Amoxicillin,0.024,-1.486,0.051,46.589,365.4,0.0,3.4,Low,ok,2489
Pramlintide,-23.825,-1.498,-24.51,26.15,3949.5,0.0,3.4,Low,domain-edge (prediction unreliable),2490
Xanthinol,-2.281,-1.489,4.142,-4.357,311.3,0.0,3.4,Low,ok,2491
Ceftaroline fosamil,-0.115,-1.509,5.691,73.095,684.7,0.0,3.3,Low,domain-edge (prediction unreliable),2492
Chromium picolinate,-1.667,-1.521,-1.791,87.887,122.1,0.0,3.3,Low,ok,2493
Zoledronic acid,-1.115,-1.504,1.945,37.921,272.1,0.0,3.3,Low,ok,2494
Iodohippurate sodium I-131,-3.225,-1.511,6.973,59.229,308.1,0.0,3.3,Low,ok,2495
Glycyrrhizic acid,2.246,-1.521,-4.489,88.092,822.9,0.0,3.3,Low,domain-edge (prediction unreliable),2496
Ceftizoxime,-0.556,-1.522,-0.002,65.192,383.4,0.0,3.3,Low,ok,2497
Cefotiam,-0.653,-1.519,0.909,62.256,525.6,0.0,3.3,Low,ok,2498
Silodrate,-11.218,-1.502,-11.073,127.004,76.1,0.0,3.3,Low,domain-edge (prediction unreliable),2499
Doripenem,-1.603,-1.52,-1.455,39.46,420.5,0.0,3.3,Low,ok,2500
Ademetionine,-3.257,-1.504,5.435,17.695,398.4,0.0,3.3,Low,ok,2501
Sodium glycerophosphate,-8.807,-1.526,6.243,18.892,170.1,0.0,3.2,Low,ok,2502
Uridine,-2.852,-1.545,-0.729,14.791,244.2,0.0,3.2,Low,ok,2503
Iodohippurate sodium I-123,-3.225,-1.528,6.908,58.66,300.1,0.0,3.2,Low,ok,2504
Tegafur-uracil,-0.952,-1.525,-3.222,39.554,200.2,0.0,3.2,Low,ok,2505
Gluconolactone,-3.013,-1.546,1.154,7.933,178.1,0.0,3.2,Low,ok,2506
Sulfacetamide,0.094,-1.568,-0.597,60.013,214.2,0.0,3.1,Low,ok,2507
Nickel sulfate,-1.34,-1.564,3.016,41.086,96.1,0.0,3.1,Low,domain-edge (prediction unreliable),2508
Mandelic acid,0.805,-1.552,-0.076,47.77,152.1,0.0,3.1,Low,ok,2509
Histamine,-0.089,-1.554,-0.424,-0.533,111.1,0.0,3.1,Low,ok,2510
Calcium levulinate,-2.17,-1.556,-2.18,51.782,115.1,0.0,3.1,Low,ok,2511
Enalaprilat,1.126,-1.557,-2.671,66.115,348.4,0.0,3.1,Low,ok,2512
Hydroxyurea,-0.956,-1.582,-0.628,8.091,76.1,0.0,3.0,Low,domain-edge (prediction unreliable),2513
Threonine,-1.221,-1.576,-1.652,15.528,119.1,0.0,3.0,Low,ok,2514
D-glucose,-3.379,-1.585,0.37,8.576,180.2,0.0,3.0,Low,ok,2515
Pyrophosphoric acid,-0.812,-1.572,1.401,45.73,178.0,0.0,3.0,Low,ok,2516
Neostigmine,1.944,-1.583,-0.009,-8.795,223.3,0.0,3.0,Low,ok,2517
Dichloroacetic acid,0.875,-1.572,1.417,31.836,128.9,0.0,3.0,Low,ok,2518
